filename,yntype,problempitch,v1start,v1end,v1dur,v1mid,pitchHzv1start,pitchHzv1end,pitchHzv1mid,pitchHzv1mean,pitchstv1start,pitchstv1end,pitchstv1mid,pitchstv1mean,v0start,v0end,v0dur,v0mid,pitchHzv0start,pitchHzv0end,pitchHzv0mid,pitchHzv0mean,pitchstv0start,pitchstv0end,pitchstv0mid,pitchstv0mean,diffmeanHz,diffmidHz,diffmeanst,diffmidst
WE2_A008_1238s554,NA,NA,0.5700000000000003,0.6400000000000001,0.06999999999999984,0.6050000000000002,211.8890356008827,208.44387054229747,213.3747548803867,212.45809722073054,12.999707232219423,12.715511958851444,13.120392167809475,13.045097284569689,0.7200000000000002,0.8511405222693798,0.13114052226937956,0.78557026113469,197.17327776952197,206.81174540095847,193.9142594222702,197.3409108606071,11.753126565513387,12.579813544385537,11.464079560233772,11.761876644164374,-15.11718636012344,-19.460495458116498,-1.2832206404053146,-1.6563126075757033
WE2_A008_3247s562,NA,NA,1.3338799953184528,1.3984223348074007,0.06454233948894794,1.3661511650629268,177.9326135366169,191.64161811750634,188.0024155223346,187.61029480696396,9.97447589524253,11.255338310968089,10.927369802903485,10.883691400252985,1.5484223348074009,1.6339781936441675,0.08555585883676664,1.591200264225784,350.05015320834906,369.36260459792834,368.563395837013,364.54792385464265,21.68893332977463,22.6204537301571,22.582950953178692,22.390576341417827,176.93762904767868,180.5609803146784,11.506884941164842,11.655581150275207
WE2_A008_3922s864,NA,NA,0.8449461896156264,0.9549461896156264,0.10999999999999999,0.8999461896156264,248.6770369878165,245.2237187687918,251.1045382173487,250.24040990345242,15.769839531422468,15.52905943107826,15.939300278698425,15.878688886037446,1.1049461896156263,1.1649461896156263,0.06000000000000005,1.1349461896156263,200.49701223011627,--undefined--,197.62531034245765,198.22208399481244,12.042534325939164,--undefined--,11.79321273759491,11.845179029963159,-52.01832590863998,-53.47922787489105,-4.0335098560742875,-4.146087541103515
WE2_A008_3984s177,NA,NA,1.3699999999999999,1.43,0.06000000000000005,1.4,213.99551761465142,213.55085846390082,213.77318803927614,213.7731880392761,13.170966936180264,13.13495637065402,13.152969976065332,13.15296720184927,1.5332710167552357,1.64,0.10672898324476421,1.5866355083776178,243.14613939838475,--undefined--,229.3156969349658,231.3797471149112,15.381340842101759,--undefined--,14.367408603672692,14.517610306814438,17.60655907563509,15.542508895689679,1.3646431049651682,1.2144386276073593
WE2_A014_147s558,NA,NA,1.3069154821380204,1.3452027048278061,0.03828722268978568,1.3260590934829133,155.5781896125758,142.184014778824,145.6873640166398,147.0273618101952,7.648858490492495,6.092857458140669,6.50718737036755,6.66126623711655,1.4152027048278064,1.5212558100000126,0.10605310517220623,1.4682292574139095,136.2115711416453,124.8323854492598,130.03783777327047,130.08922140529273,5.349701613864198,3.839856646178342,4.546955860300812,4.547386556381343,-16.93814040490247,-15.649526243369337,-2.1138796807352067,-1.9602315100667385
WE2_A016_2716s551,NA,NA,0.5322265731989526,0.5922265731989527,0.06000000000000005,0.5622265731989526,95.40687700040286,98.38681891825863,96.81444420489525,96.8175021714139,-0.8141004385063407,-0.282067664183105,-0.5606629694568729,-0.5606846783327486,0.6322265731989526,0.7122265731989527,0.08000000000000007,0.6722265731989526,106.69774627156526,111.31782822327925,111.31782822327925,110.80461142088157,1.1203729346597047,1.8562160102221792,1.8562160102221792,1.7744756787186335,13.987109249467665,14.503384018383997,2.3351603570513824,2.416878979679052
WE2_A018_1809s772,NA,NA,1.8481165231188923,1.9058435403956575,0.05772701727676521,1.876980031757275,134.32884828412597,119.87907763904842,127.21723067491514,127.21353505491788,5.108939407243249,3.1364360570474297,4.164361160557455,4.155103739149123,1.95,2.06,0.1100000000000001,2.005,114.19571362460054,117.69054164605846,114.2928895343052,114.85011278919654,2.2981019959479054,2.819742075594941,2.3126374786028743,2.3957248676226914,-12.36342226572134,-12.92434114060994,-1.7593788715264314,-1.8517236819545806
WE2_A018_3172,genuine,NO,0.5201466923832114,0.6101466923832115,0.09000000000000008,0.5651466923832115,179.5571316119321,177.33377205374268,184.51978636818444,181.80507161855476,10.132988952063224,9.917606093721558,10.605078087320305,10.347265822354055,0.7101466923832114,0.8401466923832115,0.13000000000000012,0.7751466923832114,217.49296382071492,--undefined--,267.27275175404037,257.70391561030345,13.45154955561175,--undefined--,17.017868287214718,16.32111628774864,75.89884399174869,82.75296538585593,5.973850465394586,6.412790199894413
WE2_A020_6349,genuine,NO,0.601765080009841,0.755321003413374,0.15355592340353308,0.6785430417116075,204.5668924823169,228.54577814501346,202.89614728201798,209.37336673085522,12.363314846954365,14.309326450920405,12.248438650824962,12.754553904776728,0.8552443420382038,1.0133067581323094,0.15806241609410565,0.9342755500852566,210.41750473145206,253.5060236618289,221.17100872949558,226.64264280910712,12.879050774731516,16.104240337337508,13.739155901536149,14.122656344443639,17.26927607825189,18.274861447477605,1.3681024396669113,1.490717250711187
WE2_A021_630s927,NA,NA,0.8930223586789227,0.9630223586789225,0.06999999999999984,0.9280223586789226,190.37737383669852,187.8337182106516,189.10554602367506,189.10554602367506,11.146328100336616,10.913443375303798,11.030288728813165,11.03014730991801,1.05043746713516,1.1730223586789226,0.12258489154376262,1.1117299129070413,196.61005394485227,--undefined--,193.57261946060936,194.38960901027346,11.703775830808667,--undefined--,11.433935036002724,11.502430867581847,5.2840629865984,4.4670734369342995,0.472283557663836,0.4036463071895593
